customer_beneficiary_id,customer_id,beneficiary_id,first_transaction_date,last_transaction_date,relationship_risk_score
CBEN_ad911dc1cc384258aaa17a316ce1dd99,CUST_97c1ca2caa084a13877dcbfdb4735e10,BENE_c9ac829ad42a4bccb26dee573eebeb7a,2025-06-09 17:09:35.261887,2026-05-27 17:09:35.261887,94.98
CBEN_d0dbb87abef4413a8b33a455acef084e,CUST_f513cc395ea143c4829feac66f3f322a,BENE_99f08289cfe2402ca5511245c1756954,2026-01-28 17:09:35.261887,2026-06-06 17:09:35.261887,13.77
CBEN_0f11984fcf2d41f2a25e6f0f38ece664,CUST_bedcdeff8a2f44529e782d61f48636ab,BENE_41930ddbe02d4f5293cced3914af29c4,2026-02-04 17:09:35.261887,2026-05-07 17:09:35.261887,22.04
CBEN_dc1c35ff128b44468bb4c7694dc77157,CUST_877c86bd5b6a4d9c8e9868233295f7da,BENE_30168ace2bbe4719a0c8280129474bc5,2025-07-21 17:09:35.261887,2026-05-04 17:09:35.261887,30.12
CBEN_bd252439f57d4987a34225d750a1f4a0,CUST_b0a13846a7b84aebada6c58c07299e8f,BENE_f5760e530ff142b68f00745f87855c8d,2025-06-19 17:09:35.261887,2026-04-15 17:09:35.261887,28.25
CBEN_40639ef3b6c847c1b1aeb1544b393e30,CUST_9793282ae5904c95a4d22068fa821350,BENE_b160fa9e37774b4ab3a423e7978bfb79,2026-02-02 17:09:35.261887,2026-05-09 17:09:35.261887,28.81
CBEN_20bd0d94134f44ee8b7efa0db07a88fb,CUST_a6b27be25ef947989b43ba9e4c1e3965,BENE_a83ce76dbb4a41dd99888bb19b9102f4,2025-12-13 17:09:35.261887,2026-06-10 17:09:35.261887,39.04
CBEN_235546acb3224958bec33e2e3987d643,CUST_ea29304f0a5446daaa6b82d213cc285c,BENE_985d24fd415f44578c080391fdd75a11,2026-01-07 17:09:35.261887,2026-05-06 17:09:35.261887,14.34
CBEN_ac3c61ca2c454c14938df84698df8a69,CUST_0bde02aff0e64eb3988c2f818543f06c,BENE_bdb0b8bf5b4e4cb7acb0371b03bb98b8,2025-10-10 17:09:35.261887,2026-06-01 17:09:35.261887,3.74
CBEN_33323c05d24f4618bbe85444f9cbe10a,CUST_924b22543c4f4d6c976bc2e8590385c7,BENE_118a85e1963041efbbf29ca86dc7fdbb,2025-10-11 17:09:35.261887,2026-06-07 17:09:35.261887,16.02
CBEN_6c42cb01b2e040f8a2ee64980c6ab020,CUST_2e130fd18b4f47a5854b74de5b88ba1a,BENE_f7c78b25d87d4949b217468987671ee6,2026-03-17 17:09:35.261887,2026-05-06 17:09:35.261887,46.78
CBEN_081f377e1648426d883a97e5e1582981,CUST_296ea9fbb597489b8c82575b530779f5,BENE_12f2c8c4c2e049e6aaa4444ba14335a0,2026-02-17 17:09:35.261887,2026-05-05 17:09:35.261887,4.8
CBEN_9331a0466d994584827dbd1d3fab8509,CUST_d8b0a7a315184407b95b578a31ed28ba,BENE_d47a65229b554bdbbe83db6d8ed37222,2025-05-13 17:09:35.261887,2026-05-15 17:09:35.261887,2.67
CBEN_2f7146c3eb4942dba538fa44956275af,CUST_c608e5e3a8cb46f3806f82357ca7868f,BENE_fd71752fb5684bf7b2a78e8fd3f631c1,2025-07-07 17:09:35.261887,2026-05-19 17:09:35.261887,37.21
CBEN_7923c58565054debb7361390c473fac9,CUST_7f4f74b207a344a78df2c6e771ecaefe,BENE_a959975b781a44bd9543f524d9d24f82,2025-07-16 17:09:35.261887,2026-05-05 17:09:35.261887,21.05
