merchant_id,merchant_name,merchant_category,merchant_country,merchant_risk_rating,fraud_transaction_count,total_transaction_count,merchant_status,created_at
MERCH_bb47410a4c24481781a87217fa9ee96c,Rios and Sons,Shell Utility,Guinea,Medium,2,1611,Active,2023-12-12 17:09:35.218325
MERCH_5c250c43109f4aeab9ae3473f8ddda56,"Stevens, Davis and Lawrence",Crypto Exchange,Faroe Islands,High,27,3228,Under Review,2025-02-03 17:09:35.218325
MERCH_c7fd906b758c42a6a9a682d16a415805,Robinson-Hanson,Crypto Exchange,Cote d'Ivoire,Low,1,4124,Active,2024-12-19 17:09:35.218325
MERCH_59b710232d8d407aab15ea87b444a762,Miles Ltd,Gaming,Norway,Low,0,2948,Active,2025-05-22 17:09:35.218325
MERCH_22fe472c23fe422581cfa6891e769a9a,Reyes-Horton,Crypto Exchange,Finland,Low,2,689,Active,2024-10-30 17:09:35.218325
MERCH_891117af02e945049283c87bd00d4a27,"French, Cole and Palmer",Retail,Maldives,Medium,0,1135,Active,2023-12-02 17:09:35.218325
MERCH_4aa94075bf0649988959d90b5336140c,"Williams, Clark and Martin",Retail,Guadeloupe,Low,2,3307,Active,2025-07-18 17:09:35.218325
MERCH_8549a6888d10408cae0d4e0212eaeb97,"Wallace, Herrera and Mcdonald",Crypto Exchange,Malta,Low,2,2625,Active,2024-03-20 17:09:35.218325
MERCH_130f6e9743b14931a608242119ba13a9,Perry-Lynn,Shell Utility,Latvia,Medium,1,4509,Active,2024-05-15 17:09:35.219829
MERCH_237c0d024e4a4c7e8d0e11ca0a8d6453,"Bell, Young and Smith",Electronics,Morocco,Medium,1,4203,Active,2023-11-30 17:09:35.219829
MERCH_2a307efa70dd401a887784d6465a30e8,Burton LLC,Retail,Wallis and Futuna,Low,0,4182,Active,2024-07-09 17:09:35.219829
MERCH_6e4e883833c44442b2c4971f8ef5fa49,"Lewis, Christensen and Rodriguez",Crypto Exchange,Haiti,Low,1,4677,Active,2024-12-21 17:09:35.219829
MERCH_62ae05370f804a8c93db1a50678cb306,"Figueroa, Johnson and Wright",Retail,Qatar,Low,1,1838,Active,2024-05-20 17:09:35.219829
MERCH_d42df9c656c343709cf8b1bb4174a15f,"Boone, Thomas and Vazquez",Shell Utility,Armenia,Medium,0,1626,Active,2024-02-01 17:09:35.220834
MERCH_700ae40ad50e49ddb99a0ebd30d0eedd,"Turner, Hinton and Dorsey",Retail,Serbia,Low,2,4982,Active,2024-12-17 17:09:35.220834
MERCH_8603e56062bf4cea9096eaed73e55795,"Armstrong, Maynard and Woods",Crypto Exchange,Estonia,Low,0,1791,Active,2025-06-12 17:09:35.220834
MERCH_52c14f3373744b21bc15d916a3e43371,Shepherd-White,Crypto Exchange,South Africa,Low,1,2101,Active,2023-03-29 17:09:35.220834
MERCH_e80bcb95fb264747b4cb479c91b596e2,Garcia-Howard,Retail,Congo,Low,2,823,Active,2024-08-08 17:09:35.220834
MERCH_5e0748439f5a4ae59b0484c2e612f9ef,"Webb, Goodwin and Crawford",Crypto Exchange,Nicaragua,High,20,3786,Under Review,2024-09-27 17:09:35.221729
MERCH_b968306eb8b244bc834d0977925a7816,"Thompson, Gray and Jenkins",Electronics,Martinique,Medium,1,1136,Active,2023-08-10 17:09:35.221729
